                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.1945,                 2.2066,                 2.9625,                0.72028,                0.61805,                0.63765,                0.27557,                 1.8875,                 2.5746,                 2.5892,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.1818,                  1.906,                 2.7868,                0.50936,                   0.58,                  0.554,                0.26183,                 1.8531,                 2.8468,                 2.5705,               0.001109,               0.001109,               0.001109
                     48,                 2.0788,                 1.9606,                  2.747,                0.51946,                   0.42,                 0.4897,                0.23277,                 1.8546,                 2.8017,                 2.5795,              0.0010892,              0.0010892,              0.0010892
                     49,                  2.291,                 2.1327,                 3.0102,                0.41806,                   0.58,                0.49853,                0.26382,                 1.7233,                 2.4804,                 2.4714,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.0201,                 1.9674,                 2.7197,                0.47443,                   0.58,                0.56533,                0.30651,                 1.6752,                 2.3246,                 2.4273,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.1448,                 1.9915,                 2.8414,                0.70587,                0.47998,                0.64577,                  0.369,                 1.5931,                 1.9634,                 2.4312,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.2561,                 2.0172,                 2.7946,                0.63722,                   0.74,                0.72705,                0.40998,                 1.6001,                 1.8257,                 2.4329,                0.00101,                0.00101,                0.00101
                     53,                 1.9385,                 1.7413,                 2.6466,                0.70764,                0.72622,                0.75947,                  0.359,                 1.8696,                 1.9489,                 2.5838,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8855,                 1.7325,                  2.715,                0.79703,                0.78543,                0.82833,                0.40284,                 1.7555,                 1.8615,                 2.5333,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.9277,                 1.7887,                 2.6635,                0.80862,                   0.74,                0.79287,                0.38582,                 1.7818,                 1.9137,                 2.5506,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.1439,                 2.1049,                   2.75,                0.79081,                0.68046,                0.76788,                 0.3272,                 2.0515,                 2.2614,                 2.7948,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.944,                 2.0744,                 2.6467,                 0.7008,                   0.36,                0.55373,                0.20454,                 2.2693,                 2.8459,                 3.0976,               0.000911,               0.000911,               0.000911
                     58,                 2.0579,                 1.8615,                 2.5793,                0.55977,                   0.54,                0.61117,                0.28826,                  1.979,                 2.2431,                 2.7167,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9246,                 1.9303,                 2.6337,                0.63633,                0.73495,                0.70789,                0.36774,                 1.5835,                 1.8685,                 2.4792,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.8956,                 1.9163,                 2.7167,                0.71896,                    0.7,                0.75454,                0.38932,                 1.6289,                 2.0543,                 2.5274,              0.0008516,              0.0008516,              0.0008516
                     61,                  2.189,                 1.9843,                 2.7787,                0.73531,                0.77787,                 0.7617,                0.35113,                 1.6616,                 1.9667,                 2.5115,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.9697,                 1.8158,                   2.47,                 0.7359,                0.72455,                  0.787,                0.40008,                 1.6106,                 1.9099,                 2.4642,               0.000812,               0.000812,               0.000812
                     63,                 2.0411,                 1.8671,                 2.5381,                0.76813,                   0.56,                0.74514,                0.41826,                  1.539,                 1.8798,                 2.4398,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.9358,                 1.9171,                 2.5631,                0.41785,                0.58865,                0.53388,                0.26683,                 1.6268,                 2.1708,                 2.5427,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.9674,                 1.8015,                  2.678,                0.30453,                   0.42,                0.36363,                0.16001,                 1.6825,                  2.528,                    2.6,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.0786,                 1.9646,                 2.6965,                 0.3658,                0.48455,                 0.4432,                0.21819,                 1.6555,                 2.3986,                 2.5362,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.1273,                 2.0037,                 2.7589,                 0.6081,                   0.78,                0.74667,                0.44272,                 1.5109,                 1.8191,                  2.407,               0.000713,               0.000713,               0.000713
                     68,                 2.0351,                 1.8104,                 2.5957,                0.76551,                   0.78,                0.82771,                0.49269,                 1.4503,                 1.6644,                 2.3547,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.889,                 1.8508,                 2.6856,                0.82657,                    0.8,                0.87802,                0.54774,                 1.3825,                  1.574,                 2.3202,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.8144,                  1.633,                 2.5338,                0.84516,                0.87341,                0.90113,                0.57342,                 1.4202,                 1.5421,                 2.3746,              0.0006536,              0.0006536,              0.0006536
